,artist.inverted,track,time,genre,date.entered,date.peaked,week,rank
44,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,17.0,1.0
45,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,18.0,1.0
46,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,19.0,8.0
47,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,20.0,15.0
48,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,21.0,19.0
49,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,22.0,21.0
50,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,23.0,26.0
51,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,24.0,36.0
52,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,25.0,48.0
53,Santana,"Maria, Maria",4:18,Rock,2000-02-12,2000-04-08,26.0,47.0
54,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,1.0,71.0
55,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,2.0,48.0
56,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,3.0,43.0
57,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,4.0,31.0
58,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,5.0,20.0
59,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,6.0,13.0
60,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,7.0,7.0
61,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,8.0,6.0
62,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,9.0,4.0
63,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,10.0,4.0
64,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,11.0,4.0
65,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,12.0,6.0
66,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,13.0,4.0
67,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,14.0,2.0
68,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,15.0,1.0
69,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,16.0,1.0
70,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,17.0,1.0
71,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,18.0,2.0
72,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,19.0,1.0
73,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,20.0,2.0
74,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,21.0,4.0
75,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,22.0,8.0
76,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,23.0,8.0
77,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,24.0,12.0
78,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,25.0,14.0
79,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,26.0,17.0
80,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,27.0,21.0
81,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,28.0,24.0
82,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,29.0,30.0
83,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,30.0,34.0
84,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,31.0,37.0
85,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,32.0,46.0
86,Savage Garden,I Knew I Loved You,4:07,Rock,1999-10-23,2000-01-29,33.0,47.0
87,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,1.0,41.0
88,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,2.0,23.0
89,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,3.0,18.0
90,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,4.0,14.0
91,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,5.0,2.0
92,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,6.0,1.0
93,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,7.0,1.0
94,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,8.0,1.0
95,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,9.0,1.0
96,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,10.0,2.0
97,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,11.0,2.0
98,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,12.0,2.0
99,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,13.0,2.0
100,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,14.0,2.0
101,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,15.0,4.0
102,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,16.0,8.0
103,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,17.0,11.0
104,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,18.0,16.0
105,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,19.0,20.0
106,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,20.0,25.0
107,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,21.0,27.0
108,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,22.0,27.0
109,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,23.0,29.0
110,Madonna,Music,3:45,Rock,2000-08-12,2000-09-16,24.0,44.0
111,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,1.0,57.0
112,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,2.0,47.0
113,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,3.0,45.0
114,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,4.0,29.0
115,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,5.0,23.0
116,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,6.0,18.0
117,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,7.0,11.0
118,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,8.0,9.0
119,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,9.0,9.0
120,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,10.0,11.0
121,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,11.0,1.0
122,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,12.0,1.0
123,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,13.0,1.0
124,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,14.0,1.0
125,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,15.0,4.0
126,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,16.0,8.0
127,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,17.0,12.0
128,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,18.0,22.0
129,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,19.0,23.0
130,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,20.0,43.0
131,"Aguilera, Christina",Come On Over Baby (All I Want Is You),3:38,Rock,2000-08-05,2000-10-14,21.0,44.0
132,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,1.0,59.0
133,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,2.0,52.0
134,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,3.0,43.0
135,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,4.0,30.0
136,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,5.0,29.0
137,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,6.0,22.0
138,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,7.0,15.0
139,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,8.0,10.0
140,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,9.0,10.0
141,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,10.0,5.0
142,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,11.0,1.0
143,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,12.0,1.0
144,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,13.0,1.0
145,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,14.0,2.0
146,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,15.0,2.0
147,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,16.0,3.0
148,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,17.0,3.0
149,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,18.0,7.0
150,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,19.0,8.0
151,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,20.0,20.0
152,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,21.0,25.0
153,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,22.0,37.0
154,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,23.0,40.0
155,Janet,Doesn't Really Matter,4:17,Rock,2000-06-17,2000-08-26,24.0,41.0
156,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,1.0,83.0
157,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,2.0,83.0
158,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,3.0,44.0
159,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,4.0,38.0
160,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,5.0,16.0
161,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,6.0,13.0
162,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,7.0,16.0
163,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,8.0,16.0
164,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,9.0,16.0
165,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,10.0,18.0
166,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,11.0,17.0
167,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,12.0,14.0
168,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,13.0,1.0
169,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,14.0,1.0
170,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,15.0,1.0
171,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,16.0,2.0
172,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,17.0,2.0
173,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,18.0,3.0
174,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,19.0,5.0
175,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,20.0,5.0
176,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,21.0,5.0
177,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,22.0,7.0
178,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,23.0,10.0
179,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,24.0,13.0
180,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,25.0,14.0
181,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,26.0,18.0
182,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,27.0,23.0
183,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,28.0,23.0
184,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,29.0,34.0
185,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,30.0,37.0
186,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,31.0,43.0
187,Destiny's Child,Say My Name,4:31,Rock,1999-12-25,2000-03-18,32.0,47.0
188,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,1.0,63.0
189,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,2.0,45.0
190,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,3.0,34.0
191,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,4.0,23.0
192,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,5.0,17.0
193,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,6.0,12.0
194,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,7.0,9.0
195,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,8.0,8.0
196,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,9.0,8.0
197,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,10.0,6.0
198,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,11.0,5.0
199,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,12.0,4.0
200,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,13.0,1.0
201,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,14.0,1.0
202,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,15.0,1.0
203,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,16.0,3.0
204,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,17.0,11.0
205,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,18.0,14.0
206,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,19.0,24.0
207,"Iglesias, Enrique",Be With You,3:36,Latin,2000-04-01,2000-06-24,20.0,28.0
208,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,1.0,77.0
209,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,2.0,66.0
210,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,3.0,61.0
211,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,4.0,61.0
212,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,5.0,61.0
213,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,6.0,55.0
214,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,7.0,2.0
215,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,8.0,1.0
216,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,9.0,1.0
217,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,10.0,2.0
218,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,11.0,2.0
219,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,12.0,4.0
220,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,13.0,5.0
221,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,14.0,5.0
222,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,15.0,7.0
223,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,16.0,8.0
224,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,17.0,10.0
225,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,18.0,10.0
226,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,19.0,9.0
227,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,20.0,14.0
228,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,21.0,17.0
229,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,22.0,20.0
230,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,23.0,25.0
231,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,24.0,31.0
232,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,25.0,32.0
233,Sisqo,Incomplete,3:52,Rock,2000-06-24,2000-08-12,26.0,46.0
234,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,1.0,81.0
235,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,2.0,54.0
236,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,3.0,44.0
237,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,4.0,39.0
238,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,5.0,38.0
239,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,6.0,33.0
240,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,7.0,29.0
241,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,8.0,29.0
242,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,9.0,32.0
243,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,10.0,27.0
244,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,11.0,26.0
245,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,12.0,24.0
246,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,13.0,27.0
247,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,14.0,32.0
248,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,15.0,33.0
249,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,16.0,35.0
250,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,17.0,35.0
251,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,18.0,40.0
252,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,19.0,43.0
253,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,20.0,50.0
254,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,30.0,45.0
255,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,31.0,45.0
256,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,32.0,45.0
257,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,33.0,23.0
258,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,34.0,17.0
259,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,35.0,14.0
260,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,36.0,17.0
261,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,37.0,18.0
262,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,38.0,18.0
263,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,39.0,3.0
264,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,40.0,1.0
265,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,41.0,1.0
266,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,42.0,2.0
267,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,43.0,3.0
268,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,44.0,4.0
269,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,45.0,4.0
270,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,46.0,5.0
271,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,47.0,6.0
272,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,48.0,8.0
273,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,49.0,9.0
274,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,50.0,10.0
275,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,51.0,12.0
276,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,52.0,15.0
277,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,53.0,20.0
278,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,54.0,22.0
279,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,55.0,22.0
280,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,56.0,25.0
281,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,57.0,26.0
282,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,58.0,31.0
283,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,59.0,32.0
284,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,60.0,37.0
285,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,61.0,42.0
286,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,62.0,42.0
287,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,63.0,45.0
288,Lonestar,Amazed,4:25,Country,1999-06-05,2000-03-04,64.0,50.0
289,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,1.0,82.0
290,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,2.0,70.0
291,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,3.0,51.0
292,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,4.0,39.0
293,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,5.0,26.0
294,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,6.0,19.0
295,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,7.0,15.0
296,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,8.0,9.0
297,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,9.0,7.0
298,N'Sync,It's Gonna Be Me,3:10,Rock,2000-05-06,2000-07-29,10.0,7.0
